parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_childcare_center,dist_to_nosmoking_zone,dist_to_overpass,dist_to_school,dist_to_tunnel,complaint_count,building_use,target_label
303139,1117000000000002296,원효로1가 12-28도,도,국유지,39.31833867914975,126.96854124078,37.54123687393456,78.20518713,139.78185906,228.67609258,333.72148931,1758.92664652,133,미지정,1
303140,1117000000000002297,원효로1가 17-3도,도,국유지,91.76561355561716,126.96812376806868,37.541335865961194,111.94815607,157.20884407,263.17996325,362.06185991,1771.17331632,133,미지정,1
303141,1117000000000002298,원효로1가 5-26도,도,국유지,45.86071241181344,126.96866410850888,37.54137305443267,64.07163975,149.56404721,215.34394166,342.19532669,1740.31771925,133,미지정,1
303142,1117000000000002299,원효로1가 12-29 도,도,국유지,22.17755784559995,126.96875365524106,37.54119545274953,62.68920056,123.07682187,211.39039773,321.00816251,1752.03978969,133,미지정,1
303143,1117000000000002300,원효로1가 1-6도,도,국유지,913.4131811168045,126.96906671968435,37.54190067835194,56.33591301,102.41603697,174.35847919,383.74610169,1671.93937819,133,미지정,1
303144,1117000000000002301,원효로1가 4-1도,도,국유지,150.50946294795722,126.96872032617549,37.54165760296307,62.4074228,118.74362912,205.95601014,368.90946912,1711.61051522,133,미지정,1
303145,1117000000000002302,원효로1가 108-11도,도,국유지,240.19154526968487,126.9698730337587,37.54126595960524,48.47940778,97.53798427,114.6578846,299.1325059,1691.53791819,133,미지정,1
303146,1117000000000002303,원효로1가 134-2 도,도,국유지,84.81172464194242,126.96929519551263,37.540886976040404,63.94667277,66.11647596,178.89716393,270.65952247,1754.29785112,133,미지정,1
303147,1117000000000002304,원효로1가 108-64 도,도,국유지,225.79797217808664,126.96981916091079,37.54101634226759,62.56175321,69.44479648,131.6821105,272.51371293,1717.63901654,133,미지정,1
303148,1117000000000002305,원효로1가 108-67도,도,국유지,45.46359205618501,126.97001075656239,37.541165775620286,64.47641824,89.27588208,108.59358377,286.59854687,1694.67339603,133,미지정,1
303149,1117000000000002306,원효로1가 108-71도,도,국유지,99.91165498178452,126.97037713829441,37.54146217309707,88.03591906,79.95791117,65.27441748,317.92457803,1649.80048283,133,미지정,1
303150,1117000000000002307,원효로1가 108-76도,도,국유지,36.567085882648826,126.96996517936337,37.54113027874642,63.22253529,84.38300873,114.06024876,283.13727069,1700.12986742,133,미지정,1
