parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_nosmoking_zone,dist_to_school,dist_to_childcare_center,complaint_count,building_use,target_label
390673,1117000000000005018,한남동 664-2도,도,국유지,1031.76749641262,127.00130601108283,37.53366421654085,237.40450761,457.4845,121.36588966,180,미지정,1
390674,1117000000000005019,한남동 653-27도,도,국유지,95.63033802108839,127.00156616510233,37.533497480535466,222.06066973,475.39141181,150.19635828,180,미지정,0
390675,1117000000000005020,한남동 761-7도,도,국유지,184.58539790776558,127.00133779425856,37.53337587931693,245.95970115,452.86669219,149.49101355,180,미지정,0
390676,1117000000000005021,한남동 683-20도,도,국유지,606.8760964197572,127.0016320071497,37.537055733742825,94.9147367,442.93104415,211.60380221,180,미지정,0
390677,1117000000000005022,한남동 665-32 도,도,국유지,68.38350316451397,127.00088569279873,37.5337365262277,305.62517621,424.12441722,95.65973525,180,미지정,0
390678,1117000000000005023,한남동 664-4도,도,국유지,143.01578226685524,127.00143104265268,37.533705980942905,225.48985835,469.3689472,124.93262044,180,미지정,0
390679,1117000000000005024,한남동 684-96도,도,국유지,157.83571088779718,127.0008754427802,37.535011865382224,183.88250968,485.36955606,63.98821862,180,미지정,0
390680,1117000000000005025,한남동 684-93도,도,국유지,92.64662967249751,127.0009248847301,37.53475339421532,208.99803631,473.76384744,46.89300024,180,미지정,0
390681,1117000000000005026,한남동 653-87도,도,국유지,42.04990960197756,127.00106009389947,37.53271984210117,303.39509453,419.87628325,207.84268428,180,미지정,0
390682,1117000000000005027,한남동 653-29 도,도,국유지,21.05665428098291,127.00110285068719,37.53339120731424,264.41069081,432.87225411,138.44605793,180,미지정,0
390683,1117000000000005028,한남동 653-78도,도,국유지,110.55700444499962,127.00126485856256,37.53270234924579,289.89204436,437.89716494,214.9235856,180,미지정,1
390684,1117000000000005029,한남동 742-31 도,도,국유지,53.082302120747045,126.99967666648185,37.537966294249905,139.04126606,363.35561883,65.13249118,180,미지정,0
390685,1117000000000005030,한남동 739-26 도,도,국유지,216.9246430778876,127.00109524129715,37.538092979711635,13.43022165,325.65477816,173.81838942,180,미지정,1
390686,1117000000000005031,한남동 761-13도,도,국유지,24.86803551390767,127.00296297435895,37.532547102564095,208.72861774,587.78149478,190.043738,180,미지정,0
390687,1117000000000005032,한남동 739-9도,도,국유지,31.433619278948754,127.0009353259479,37.53769493067041,56.18027888,370.23845149,147.32539872,180,미지정,1
