parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_school,dist_to_nosmoking_zone,dist_to_childcare_center,dist_to_tunnel,dist_to_overpass,complaint_count,building_use,target_label
389204,1117000000000003549,한강로2가 245-3도,도,국유지,62.96574270160636,126.96963243291526,37.53121345252006,552.27312284,134.11124829,281.86694801,2213.16215263,193.15504931,315,미지정,0
389205,1117000000000003550,한강로2가 284도,도,국유지,51.77736120298505,126.96956524232661,37.53138829038777,538.07829693,153.15921213,298.81690834,2204.4740931,172.86283412,315,미지정,0
389206,1117000000000003551,한강로2가 244-2도,도,국유지,225.0034072913695,126.96954377001224,37.53113187673672,563.94538866,124.65878091,270.92072408,2225.05965152,199.6804834,315,미지정,1
389207,1117000000000003552,한강로2가 283도,도,국유지,143.73696705326438,126.96931713841114,37.531125420738924,574.27865003,125.08214081,265.24219039,2240.31920226,196.28527349,315,미지정,1
389208,1117000000000003553,한강로2가 310-5 도,도,국유지,15.401534110307693,126.97058644596603,37.532364824628445,400.17325336,165.24219763,210.55737023,2064.92480674,138.95756935,315,미지정,0
389209,1117000000000003554,한강로2가 255-5도,도,국유지,459.83045442728326,126.97047747608482,37.532095727734635,431.28253591,194.93418483,241.74911154,2092.01058753,151.32501987,315,미지정,0
389210,1117000000000003555,한강로2가 286도,도,국유지,112.6128355753608,126.96998422062515,37.531827791410784,477.47991245,206.1573493,287.88446526,2144.31843087,147.84475955,315,미지정,0
389211,1117000000000003556,한강로2가 254-2도,도,국유지,161.09411709476262,126.97030579458838,37.53192162405991,455.25571274,223.6101102,265.6175713,2116.22244915,155.47215934,315,미지정,0
389212,1117000000000003557,한강로2가 253-2도,도,국유지,133.20456872414798,126.97023281794748,37.53183756402892,466.46705495,212.74979357,276.80771593,2127.26600974,158.81423489,315,미지정,0
389213,1117000000000003558,한강로2가 287도,도,국유지,112.46489429287612,126.97028853286233,37.53214957270996,433.32750444,200.40848646,243.64786365,2100.47692333,135.63741975,315,미지정,1
389214,1117000000000003559,한강로2가 252-2도,도,국유지,79.89240511879325,126.97017369728225,37.53177694867387,474.80919163,204.78575765,285.13405704,2135.65658952,161.35946207,315,미지정,1
389215,1117000000000003560,한강로2가 102-1도,도,국유지,5576.497962655965,126.97038910887728,37.53170111180403,474.38946582,203.22237056,285.17636277,2127.30286882,179.20886023,315,미지정,0
389216,1117000000000003561,한강로2가 285도,도,국유지,57.1676938701421,126.96977225096526,37.531605625339616,508.10039618,178.70732673,327.09834126,2174.73094528,157.3795739,315,미지정,1
389217,1117000000000003562,한강로2가 248-4도,도,국유지,66.78655684739351,126.9698728478261,37.5314615762828,518.03200091,164.36569487,314.74163277,2178.88754407,175.65917991,315,미지정,0
